indicator,winner_mean,loser_mean,diff,pct_diff,direction
value_eok,969.0347290039062,1227.0277099609375,-257.99298095703125,-21.025848388671875,↓ 낮을수록 winner
vol_ratio,3.635082483291626,3.883666515350342,-0.24858403205871582,-6.400756359100342,↓ 낮을수록 winner
env_ma60,0.29537105560302734,0.28329649567604065,0.012074559926986694,4.2621636390686035,↑ 높을수록 winner
ret_20d,0.3069473206996918,0.2955717146396637,0.011375606060028076,3.8486790657043457,↑ 높을수록 winner
env_ma20,0.17291566729545593,0.1673681139945984,0.005547553300857544,3.314581871032715,↑ 높을수록 winner
ret_1d,0.09673284739255905,0.09933513402938843,-0.0026022866368293762,-2.619704246520996,↓ 낮을수록 winner
rsi,72.40802764892578,70.96553039550781,1.4424972534179688,2.0326731204986572,↑ 높을수록 winner
similarity,0.7494486570358276,0.7444254755973816,0.005023181438446045,0.6747729182243347,↑ 높을수록 winner
bb_width,0.33432385325431824,0.33292481303215027,0.0013990402221679688,0.4202270805835724,↑ 높을수록 winner
close_to_high,0.9787588119506836,0.9778634309768677,0.000895380973815918,0.09156503528356552,↑ 높을수록 winner
