indicator,q1_win,q5_win,diff
similarity,44.88802336903603,45.95141700404859,1.0633936350125595
ret_1d,49.5697074010327,42.758620689655174,-6.811086711377527
ret_20d,42.931034482758626,47.58620689655172,4.655172413793096
value_eok,52.06896551724138,43.44827586206896,-8.62068965517242
vol_ratio,45.689655172413794,40.689655172413794,-5.0
rsi,42.41379310344828,47.93103448275862,5.517241379310342
bb_width,39.48275862068966,43.103448275862064,3.6206896551724057
env_ma20,45.86206896551724,49.310344827586206,3.448275862068968
env_ma60,40.3448275862069,49.82758620689655,9.482758620689651
close_to_high,44.48275862068966,42.58620689655173,-1.8965517241379288
