name,code,buy_date,buy_close,ret_1d,ret_5d,ret_20d,value_ratio_60d,value_eok,volume_ratio_60d,high_60,close_to_high60,close_to_day_high,rsi_14,above_ma5,above_ma20,above_ma60,c1_high_break,c2_vol_3x,c3_value_50eok,c4_strength_97,c5_ret_5_25,score_5_strict,score_relaxed,after_1d_max,after_5d_max,after_10d_max,after_20d_max,after_30d_max,after_60d_max
한진칼,180640,20250512,89200,0.0556213017751479,0.12201257861635217,0.20377867746288802,1.1687598727525241,43.080924,1.0689796623024403,89300,0.9988801791713325,0.9988801791713325,70.8133971291866,True,True,True,False,False,False,True,True,2,2,0.2993273542600896,0.688340807174888,0.688340807174888,0.7096412556053813,0.7376681614349776,
비츠로셀,082920,20250102,11683,0.09463131265810931,0.0997834886566884,0.16271894904458595,4.820612163381104,100.08183535,4.268936513743791,11809,0.989330171902786,0.989330171902786,84.30618664802516,True,True,True,False,True,True,True,True,4,4,0.012924762475391649,0.07557990242232293,0.10793460583754166,0.2591800051356672,0.2591800051356672,
풍산,103140,20250610,77000,0.16666666666666674,0.24193548387096775,0.19565217391304346,7.054031306078502,1309.76461,5.790985419718517,77000,1.0,1.0,87.73946360153256,True,True,True,True,True,True,True,True,5,5,0.09350649350649354,0.3896103896103895,0.7662337662337662,0.7714285714285714,1.1428571428571428,
넥스틸,092790,20250304,14140,0.26249999999999996,0.36618357487922704,0.5977401129943503,15.06870573960602,2554.543712,10.838564577084876,14560,0.9711538461538461,0.9711538461538461,82.54189944134077,True,True,True,False,True,True,True,False,3,4,0.12800565770862793,0.2036775106082036,0.2758132956152759,0.2758132956152759,0.2758132956152759,
레인보우로보틱스,277810,20250103,233000,0.10165484633569744,0.5991763898421414,0.6248256624825663,28.65695134319369,12019.96439,21.785027058938457,238500,0.9769392033542977,0.9769392033542977,90.58544303797468,True,True,True,False,True,True,True,True,4,4,0.0,0.03862660944205998,0.12231759656652352,0.6072961373390557,0.7918454935622317,
한화,000880,20250212,37700,0.15999999999999992,0.282312925170068,0.3784277879341864,11.422285247188563,1355.783611,9.06509957807031,38550,0.9779507133592736,0.9779507133592736,74.84472049689441,True,True,True,False,True,True,True,True,4,4,0.11803713527851456,0.32625994694960214,0.32625994694960214,0.3872679045092837,0.3872679045092837,
한화,000880,20250527,61800,0.16824196597353502,0.2286282306163021,0.32618025751072954,3.2358884884464394,992.743458,2.4417322884914068,62200,0.9935691318327974,0.9935691318327974,73.94495412844037,True,True,True,False,False,True,True,True,3,3,0.09223300970873782,0.5113268608414239,0.5388349514563107,0.6278317152103561,0.7605177993527508,
유라테크,048430,20250403,10700,0.1862527716186253,0.1784140969162995,0.10309278350515472,18.161115025433414,469.317729,16.084987939413775,10920,0.9798534798534798,0.9798534798534798,60.679611650485434,True,True,True,False,True,True,True,True,4,4,0.30000000000000004,0.6074766355140186,0.6074766355140186,0.6074766355140186,0.6074766355140186,
바이오에프디엔씨,251120,20250618,19250,0.09375,0.10000000000000009,0.30067567567567566,10.727153571547333,92.68798,8.779790450280263,19600,0.9821428571428571,0.9821428571428571,64.22155688622755,True,True,True,False,True,True,True,True,4,4,0.11428571428571432,0.1558441558441559,0.1558441558441559,0.1558441558441559,0.1558441558441559,
우리기술,032820,20250616,3380,0.2403669724770643,0.4231578947368422,0.8561230093355299,17.317946295860455,7360.4404042,12.90031603698112,3480,0.9712643678160919,0.9712643678160919,80.17751479289942,True,True,True,False,True,True,True,True,4,4,0.06508875739644981,0.3002958579881656,0.47928994082840237,0.47928994082840237,0.47928994082840237,
